iter	Passed	Remaining
0	1	100
1	1	84
2	2	78
3	3	73
4	3	72
5	4	74
6	5	74
7	6	72
8	7	71
9	7	70
10	8	69
11	9	68
12	10	67
13	11	68
14	11	67
15	12	66
16	13	64
17	14	63
18	15	64
19	15	63
20	16	63
21	17	63
22	18	62
23	19	61
24	20	60
25	21	60
26	21	59
27	22	58
28	23	58
29	24	58
30	25	57
31	26	56
32	27	55
33	27	54
34	28	53
35	30	53
36	30	52
37	31	51
38	32	50
39	33	49
40	33	48
41	34	47
42	34	46
43	35	45
44	36	44
45	37	43
46	38	43
47	38	42
48	39	41
49	40	40
50	41	39
51	41	38
52	42	37
53	43	36
54	43	35
55	44	35
56	45	34
57	46	33
58	47	32
59	47	31
60	48	31
61	49	30
62	49	29
63	50	28
64	51	27
65	52	26
66	52	26
67	53	25
68	54	24
69	55	23
70	56	22
71	56	22
72	57	21
73	58	20
74	59	19
75	59	18
76	60	18
77	61	17
78	62	16
79	62	15
80	63	14
81	64	14
82	65	13
83	65	12
84	66	11
85	67	10
86	68	10
87	68	9
88	69	8
89	70	7
90	70	7
91	71	6
92	72	5
93	73	4
94	74	3
95	74	3
96	75	2
97	76	1
98	77	0
99	77	0
